id,any,Fedora 33,Debian 10,type=deb,type=pkg,flathub,groups,comment,description,moved from,noinstall_message,requirements,requirements_notes
CODEBLOCKS,,codeblocks,,[flatpak],,org.codeblocks.codeblocks,development,,,developer.fedora,,,
NEXTCLOUD_CLIENT,,nextcloud-client,,nextcloud-desktop,,,nextcloud-client,,,developer.fedora,,,
GEANY_SPELL,,geany-plugins-spellcheck,,geany-plugin-spellcheck,,,everyone,,,developer.fedora,,,
PY2_PIL,,python2-pillow,,python-pillow,,,everyone,,,developer.fedora,,,
AVIDEMUX,,avidemux,,[unknown],,,video,Debian 10 says: E: Package 'avidemux' has no installation candidate,,developer.fedora,,,
QT_CREATOR,,qt-creator,,qtcreator,,,development,,,developer.fedora,,[script],The additional packages are required in order to avoid the "No valid kits found" error.
PY2_PYGAME,,python2-pygame,,python-pygame,,,development,,,developer.fedora,,,
PROJECTM_PA,,projectM-pulseaudio,,projectm-pulseaudio,,,music,,"projectM-pulseaudio is a GUI program for viewing audio input using MilkDrop scripts! It is controlled using hotkeys (see F1 for help, and https://wiki.archlinux.org/index.php/ProjectM)",developer.fedora,,,
ECLIPSE_JDT,,eclipse-jdt,,"- skipping ""eclipse-jdt"" since the package is not in Debian 10 and later and an automated install method is unknown on Debian 10 or later. See <https://linuxhint.com/install_eclipse_ide_debian_10/>",,,,,,developer.fedora,,,
*,,icedtea-web,,,,,web-development,* default to the first found column and see if the os has it even if not the OS in that column heading,,developer.fedora,,,
*,,shotcut,,,,,video,* to take the value from the next column,,developer.fedora,,,
*,,chromium-libs-media-freeworld,,,,,everyone,,,developer.fedora,,,
*,,exfat-utils,,,,,everyone,,,developer.fedora,,,
*,,fuse-exfat,,,,,everyone,,,developer.fedora,,,
*,,unetbootin,,,,,it,,,developer.fedora,,,
*,,gimp-elsamuko,,,,,desktop-publishing,,,developer.fedora,,,
*,,gimp-wavelet-denoise-plugin,,,,,desktop-publishing,,,developer.fedora,,,
*,,gimp-paint-studio,,,,,desktop-publishing,,,developer.fedora,,,
*,,gimp-lqr-plugin,,,,,desktop-publishing,,,developer.fedora,,,
*,,gimp-normalmap,,,,,desktop-publishing,,,developer.fedora,,,
*,,GREYCstoration-gimp,,,,,desktop-publishing,,,developer.fedora,,,
*,,star,,[unknown],,,development,Debian 10 says: E: Package 'star' has no installation candidate,unique standard tape archiver,developer.fedora,,,
*,,ladspa-cmt-plugins,,,,,music-production,Debian 10 says: E: Unable to locate package ladspa-cmt-plugins,,developer.fedora,,,
*,,ladspa-autotalent-plugins,,,,,music-production,,,developer.fedora,,,
*,,ladspa-zam-plugins,,,,,music-production,,,developer.fedora,,,
*,,ladspa-rev-plugins,,,,,music-production,,,developer.fedora,,,
*,,PersonalCopy-Lite-soundfont,,,,,music-production,TODO: install soundfonts in user space to save space on "/",,developer.fedora,,,
*,,ardour5,,,,,music-production,,,developer.fedora,,,
*,,remarkable,,,,,everyone,,Markdown editor with GitHub markdown syntax support,developer.fedora,,,
discord,,[script],,,,,gaming,,,developer.fedora,"The packaged version is too old to be allowed. The run-in-place version of Discord is necessary to get the latest updates automatically. If you want Discord, you'll have to get that version manually from https://discordapp.com/download (Select 'tar.gz' before clicking Download Now.)",,
*,,git-credential-libsecret,,,,,development,updates automatically. The packaged version is too old to be allowed,remember password securely in terminal,developer.fedora,,,
*,,gstreamer-ffmpeg,,,,,everyone,"to login. If you want Discord, you'll have to get that version","should allow dragon player to play the files it opens by default but can't play by default (mkv, mp4, mov)",developer.fedora,,,
*,,gmic-gimp,,,,,desktop-publishing,manually from https://discordapp.com/download (Select 'tar.gz' before,,developer.fedora,,,
*,,blender,,,,,desktop-publishing,clicking Download Now.),,developer.fedora,,,
*,,inkscape,,,,,desktop-publishing,,,developer.fedora,,,
*,,git-cola,,,,,development,,,developer.fedora,,,
*,,obs-studio,,,,,streaming,,,developer.fedora,,,
*,,keepassxc,,,,,everyone,,,developer.fedora,,,
*,,geany,,,,,everyone,,,developer.fedora,,,
*,,python,,,,,python-extras,,,developer.fedora,,,
*,,python3-pillow,,,,,everyone,,,developer.fedora,,,
*,,speedcrunch,,,,,everyone,,,developer.fedora,,,
*,,filezilla,,,,,web-development,,,developer.fedora,,,
*,,darktable,,,,,photography,,,developer.fedora,,,
*,,avidemux,,,,,video,,,developer.fedora,,,
*,,mypaint,,,,,everyone,,,developer.fedora,,,
*,,krita,,,,,desktop-publishing,,,developer.fedora,,,
*,,kate,,,,,development,,,developer.fedora,,,
*,,lmms,,,,,music-production,,,developer.fedora,,,
*,,vinagre,,,,,remote-desktop,,,developer.fedora,,,
*,,scantailor,,,,,scanning,,,developer.fedora,,,
*,,vlc,,,,,everyone,,,developer.fedora,,,
*,,mpv,,,,,everyone,,,developer.fedora,,,
*,,librecad,,,,,cad,,,developer.fedora,,,
*,,freecad,,,,,cad,,,developer.fedora,,,
*,,gedit,,,,,gnome-apps-for-everyone,,,developer.fedora,,,
*,,catfish,,,,,everyone,,,developer.fedora,,,
*,,meld,,,,,development,,,developer.fedora,,,
*,,hexchat,,,,,everyone,,,developer.fedora,,,
*,,ghex,,,,,development,,,developer.fedora,,,
*,,gxmms2,,,,,music,,,developer.fedora,,,
*,,gucharmap,,,,,gnome-apps-for-everyone,,,developer.fedora,,,
*,,kcharselect,,,,,kde-apps-for-everyone,,,developer.fedora,,,
*,,tiled,,,,,development,,Tiled Map Editor,developer.fedora,,,
*,,fontforge,,,,,font-development,,,developer.fedora,,,
*,,qdirstat,,,,,everyone,,,developer.fedora,,,
*,,frei0r-plugins,,,,,everyone,,free video effect plugin collection,developer.fedora,,,
*,,redshift,,,,,everyone,,,developer.fedora,,,
*,,redshift-gtk,,,,,gnome-apps-for-everyone,,,developer.fedora,,,
*,,plasma-applet-redshift-control,,,,,kde-apps-for-everyone,,,developer.fedora,,,
*,,eclipse-jdt,,,,,java-development,,,developer.fedora,,,
*,,maven,,,,,java-development,,,developer.fedora,,,
*,,sloccount,,,,,development,,Measure source lines of code (SLOC) in programs.,developer.fedora,,,
*,,icoutils,,,,,development,,,developer.fedora,,,
*,,rhythmbox,,,,,everyone,,,developer.fedora,,,
*,,scribus,,,,,desktop-publishing,,,developer.fedora,,,
*,,libreoffice,,,,,everyone,,,developer.fedora,,,
*,,pandoc,,,,,development,,Convert from markdown to html (opposite by setting -f html -t markdown). Use cmark-gfm (GitHubâ€™s fork of cmark but without named anchor generation builtin) instead for GitHub-flavored Markdown.,developer.fedora,,,
*,,git,,,,,everyone,,,developer.fedora,,,
*,,sqlitebrowser,,,,,development,,,developer.fedora,,,
*,,python3-pycodestyle,,,,,python-extras,,,developer.fedora,,,
*,,gnome-terminal,,,,,gnome-apps-for-everyone,,,developer.fedora,,,
*,,screen,,,,,everyone,,,developer.fedora,,,
*,,zlib,,,,,everyone,for scale2x (see creative-nonroot.sh),,developer.fedora,,,
*,,libpng,,,,,everyone,for scale2x (see creative-nonroot.sh),,developer.fedora,,,
*,,libsecret,,,,,everyone,see also run as unpriveleged user (git config --global credential.helper libsecret automatically edits: \n echo > ~/.gitconfig <<END \n [credential] \n helper = libsecret \nEND,Save git password without KDE keyring,developer.fedora,,,
*,,php,,,,,"web-development,web-server",,Even if not running a web server it can be used for testing atomic php scripts such as via php -S localhost:8000 index.php,developer.fedora,,,
*,,python2-setuptools,,,,,everyone,for butterflow (frame blending OR interpolation)--see more.fedora.sh,,developer.fedora,,,
*,,python2-virtualenv,,,,,everyone,for butterflow (frame blending OR interpolation)--see more.fedora.sh,,developer.fedora,,,
*,,python2-numpy,,,,,everyone,for butterflow (frame blending OR interpolation)--see more.fedora.sh,,developer.fedora,,,
*,,ocl-icd,,,,,development-opencl,for butterflow (frame blending OR interpolation)--see more.fedora.sh,,developer.fedora,,,
*,,opencl-headers,,,,,development-opencl,for butterflow (frame blending OR interpolation)--see more.fedora.sh,,developer.fedora,,,
*,,ffmpeg,,,,,everyone,,,developer.fedora,,,
*,,libav,,,,,,,,developer.fedora,,,
scale2x,,[nonroot-script],,,,,,,TODO: get from creative-nonroot,developer.fedora,,"zlib,libpng",
lxmusic,,,,,,,,,,developer.fedora,Rhythmbox is recommended instead.,,
bluez-hid2hci,,,,,,,,,,developer.fedora,The builtin KDE works better.,,
retext,,,,,,,,,,developer.fedora,Remarkable is recommended instead.,,
gnome-mplayer,,,,,,,,,,developer.fedora,The mplayer-gui and smplayer packages are recommented instead.,,
*,,ruby,,,,,"development-ruby,web-server-ruby",,,developer.fedora,,,
wayback_machine_downloader,,[script],,,,,web-archivist,,Usage: it will make a ./websites/* directories automatically when run on a specific web address.,developer.fedora,,ruby,
REPO_ADDING_UTIL,,dnf-plugins-core,,,,,,"for Brave, but a script installs Brave on fedora.",,developer.fedora,,,
BRAVE_BROWSER,,[script],,,,,everyone,,Brave is a privacy-oriented browser.,developer.fedora,,,
*,,python-devel,,,,,kivy-development,,,developer.fedora,,,
*,,ffmpeg-libs,,,,,kivy-development,,,developer.fedora,,,
*,,SDL2-devel,,,,,kivy-development,,,developer.fedora,,,
*,,SDL2_image-devel,,,,,kivy-development,,,developer.fedora,,,
*,,SDL2_mixer-devel,,,,,kivy-development,,,developer.fedora,,,
*,,SDL2_ttf-devel,,,,,kivy-development,,,developer.fedora,,,
*,,portmidi-devel,,,,,kivy-development,,,developer.fedora,,,
*,,libavdevice,,,,,kivy-development,,,developer.fedora,,,
*,,libavc1394-devel,,,,,kivy-development,,,developer.fedora,,,
*,,zlibrary-devel,,,,,kivy-development,,,developer.fedora,,,
*,,ccache,,,,,kivy-development,,,developer.fedora,,,
*,,mesa-libGL,,,,,kivy-development,,,developer.fedora,,,
*,,mesa-libGL-devel,,,,,kivy-development,,,developer.fedora,,,
*,,python3-pip,,,,,kivy-development,,,developer.fedora,,,
*,,python2-pip,,,,,kivy-development-python2,,,developer.fedora,,,
*,,xclip,,,,,kivy-development,,Access the x clipboard using this backend. Kivy needs this to run apps on a desktop computer.,developer.fedora,,,
SUBLIME_TEXT,,[script],,,,,web-development,,,developer.fedora,,,
XGALAGApp,,[script],,,,,XGalaga++,,,developer.fedora,XGalaga++ is a C++ rewrite of Xgalaga but the graphics are still purely X11.,$LIBXPM_DEV,
LIBXPM_DEV,,libXpm-devel,,,,,,,,developer.fedora,,,
*,,python3-mutagen,,,,,,,,developer.fedora,installed as dependency by an older version of the developer.fedora script but source is unknown as it is not installed by the current version.,,
*,,psutils,,,,,,,,developer.fedora,psutils allows printing multiple pages per sheet:\n  psnup -4 file.ps print.ps\n  lpr print.ps\naccording to https://www.cade.utah.edu/faqs/how-can-i-print-multiple-pages-per-sheet-in-linux/ but tests were unsuccessful with `psnup -2 file.ps print.ps`. The pdfjam package is recommended instead.,,
*,,pdfjam,,pdfjam,[see $PDFNUP],,desktop-publishing,,,developer.fedora,,,
PDFNUP,,,,,[script],,,,,developer.fedora,(only recommended for Arch-based distros--see pdfjam for others) pdfnup allows printing multiple pages per sheet (default is 2):\n  pdfnup -o output.pdf input.pdf,,
GEDIT_SAVESESSION,[script],,,,,,,,,developer.fedora,Gedit-External-Tools-SaveSession,,
